id,category,price,sales
1,Technology,199.51,5
2,Food,24.42,12
3,Books,128.68,36
4,Clothing,238.04,32
5,Clothing,56.82,38
6,Books,499.02,10
7,Food,53.02,24
8,Technology,177.41,94
9,Books,132.64,62
10,Books,317.07,17
11,Food,64.12,36
12,Technology,76.58,31
13,Books,357.69,77
14,Books,121.48,39
15,Technology,406.22,4
16,Clothing,469.7,92
17,Clothing,228.36,34
18,Technology,397.48,37
19,Books,392.42,60
20,Food,86.07,15
21,Technology,98.78,18
22,Clothing,99.92,92
23,Technology,51.98,3
24,Technology,87.39,94
25,Food,480.14,96
26,Food,488.77,3
27,Food,121.08,30
28,Food,416.99,95
29,Clothing,294.6,13
30,Clothing,423.98,44
31,Technology,262.95,33
32,Books,490.34,73
33,Books,319.62,10
34,Technology,31.35,44
35,Technology,314.9,87
36,Food,407.88,1
37,Clothing,94.21,72
38,Clothing,446.88,18
39,Books,71.31,14
40,Food,475.65,94
41,Books,160.18,75
42,Food,470.2,92
43,Books,310.55,2
44,Food,11.57,71
45,Clothing,23.84,30
46,Books,247.94,93
47,Clothing,428.9,85
48,Books,442.44,8
49,Technology,31.44,99
50,Food,466.08,87
51,Clothing,168.89,71
52,Technology,408.1,13
53,Clothing,346.19,14
54,Food,99.56,79
55,Technology,420.14,4
56,Clothing,248.46,47
57,Technology,139.8,27
58,Clothing,393.03,26
59,Books,154.17,48
60,Food,343.58,60
61,Clothing,313.1,73
62,Technology,121.72,41
63,Books,421.65,28
64,Clothing,285.25,35
65,Clothing,127.92,44
66,Food,495.23,4
67,Food,22.63,12
68,Clothing,186.14,61
69,Technology,429.21,55
70,Clothing,82.58,81
71,Technology,499.39,83
72,Food,70.41,43
73,Books,73.69,100
74,Food,148.71,52
75,Books,376.04,76
76,Technology,271.48,69
77,Technology,152.42,1
78,Books,117.78,52
79,Technology,274.04,73
80,Clothing,356.78,20
81,Food,298.09,85
82,Food,63.94,93
83,Food,53.6,100
84,Food,483.09,90
85,Clothing,101.44,78
86,Clothing,51.69,99
87,Food,71.4,45
88,Books,71.61,19
89,Clothing,50.14,71
90,Food,458.49,44
91,Food,17.4,91
92,Clothing,499.46,2
93,Food,63.36,29
94,Technology,151.71,100
95,Food,171.39,69
96,Books,334.02,38
97,Books,425.72,43
98,Food,104.37,34
99,Clothing,210.06,20
100,Clothing,473.54,99
101,Technology,485.2,87
102,Books,260.99,52
103,Books,39.3,90
104,Books,142.45,75
105,Technology,492.87,92
106,Books,37.8,82
107,Books,82.58,88
108,Food,161.06,27
109,Books,381.03,92
110,Food,433.39,65
111,Technology,405.21,59
112,Books,294.57,83
113,Technology,130.7,29
114,Technology,69.79,78
115,Food,169.91,99
116,Clothing,433.12,64
117,Food,117.69,77
118,Books,39.31,1
119,Clothing,426.04,69
120,Food,397.46,48
121,Technology,385.27,50
122,Technology,395.69,86
123,Books,350.44,17
124,Books,181.6,95
125,Technology,150.06,41
126,Technology,86.73,59
127,Books,484.16,93
128,Books,405.41,88
129,Books,47.39,23
130,Food,375.61,80
131,Technology,320.56,18
132,Books,474.27,78
133,Technology,220.68,55
134,Books,313.39,50
135,Clothing,32.65,85
136,Books,312.11,84
137,Technology,183.5,13
138,Clothing,71.65,14
139,Food,426.91,17
140,Books,237.94,38
141,Technology,268.43,51
142,Clothing,454.78,33
143,Food,472.61,63
144,Clothing,124.31,20
145,Food,489.89,64
146,Clothing,340.85,31
147,Technology,25.99,41
148,Food,346.67,68
149,Food,414.28,62
150,Food,262.13,95
151,Clothing,141.17,100
152,Books,88.94,61
153,Clothing,263.26,3
154,Food,269.5,35
155,Books,165.22,98
156,Food,70.46,43
157,Clothing,471.0,86
158,Technology,413.4,45
159,Clothing,496.37,41
160,Clothing,339.38,61
161,Technology,450.76,9
162,Clothing,438.38,92
163,Food,316.69,87
164,Food,469.93,77
165,Clothing,240.39,44
166,Clothing,496.32,12
167,Books,313.77,29
168,Clothing,367.78,20
169,Food,327.12,32
170,Technology,390.19,17
171,Books,456.98,52
172,Food,290.47,87
173,Clothing,400.74,77
174,Books,282.1,65
175,Clothing,487.03,22
176,Technology,450.57,72
177,Clothing,258.32,54
178,Clothing,302.4,93
179,Food,146.71,93
180,Food,177.93,81
181,Clothing,21.72,18
182,Technology,496.82,57
183,Books,255.48,20
184,Technology,396.17,70
185,Food,385.84,58
186,Food,291.06,91
187,Technology,156.45,24
188,Clothing,61.3,58
189,Food,125.56,27
190,Clothing,239.36,13
191,Books,241.37,68
192,Clothing,87.5,3
193,Food,149.38,51
194,Books,323.1,94
195,Technology,68.77,19
196,Technology,408.76,94
197,Books,353.93,45
198,Food,418.15,85
199,Technology,270.66,78
200,Technology,455.67,15
201,Food,162.17,80
202,Books,42.1,73
203,Clothing,55.51,30
204,Food,276.57,97
205,Clothing,33.93,34
206,Technology,388.45,70
207,Clothing,267.33,85
208,Books,496.28,91
209,Clothing,103.33,33
