id,region,product_id,sales,date
1,South,295,170,2023-02-22
2,West,325,126,2023-12-08
3,Central,210,222,2023-10-03
4,West,367,275,2023-09-06
5,Central,412,164,2023-11-24
6,Central,288,293,2023-07-03
7,North,408,262,2023-03-12
8,East,415,189,2023-02-20
9,East,215,283,2023-11-09
10,East,380,488,2023-06-23
11,West,169,213,2023-06-12
12,Central,234,370,2023-08-26
13,East,317,196,2023-06-02
14,East,288,196,2023-01-23
15,South,419,188,2023-03-16
16,South,213,234,2023-10-20
17,North,222,349,2023-01-07
18,North,313,226,2023-01-05
19,North,150,198,2023-09-12
20,North,173,168,2023-03-13
21,North,335,137,2023-05-16
22,West,205,352,2023-09-02
23,South,317,348,2023-10-27
24,West,486,451,2023-04-12
25,East,319,352,2023-09-14
26,East,382,249,2023-01-23
27,Central,225,353,2023-11-10
28,Central,378,33,2023-10-04
29,West,115,123,2023-05-19
30,North,157,265,2023-11-01
31,North,421,85,2023-05-14
32,North,347,324,2023-10-14
33,Central,122,120,2023-08-02
34,West,445,283,2023-07-25
35,South,419,177,2023-06-25
36,West,470,153,2023-04-27
37,Central,192,383,2023-02-14
38,North,345,120,2023-04-18
39,Central,173,41,2023-09-14
40,East,211,193,2023-10-22
41,Central,330,180,2023-12-19
42,East,247,269,2023-07-22
43,West,121,157,2023-12-05
44,Central,285,315,2023-03-13
45,West,247,378,2023-02-04
46,South,422,59,2023-05-20
47,East,169,60,2023-12-06
48,North,399,184,2023-05-12
49,Central,314,490,2023-08-27
50,South,281,132,2023-03-24
51,Central,211,263,2023-12-10
52,North,437,354,2023-12-15
53,North,290,225,2023-09-18
54,North,326,419,2023-09-06
55,Central,267,284,2023-05-15
56,South,217,411,2023-09-19
57,East,119,384,2023-08-25
58,West,279,474,2023-07-22
59,South,482,448,2023-10-11
60,West,458,385,2023-01-17
61,Central,411,433,2023-11-19
62,South,295,359,2023-05-26
63,East,479,225,2023-11-15
64,South,446,106,2023-01-28
65,North,276,49,2023-04-21
66,East,237,100,2023-09-05
67,South,375,74,2023-09-12
68,West,435,375,2023-04-24
69,North,236,379,2023-07-25
70,North,443,466,2023-03-23
71,South,287,109,2023-10-15
72,West,124,282,2023-08-19
73,South,406,388,2023-07-08
74,West,152,150,2023-12-20
75,North,386,259,2023-05-07
76,North,199,83,2023-06-23
77,North,483,242,2023-09-04
78,North,192,287,2023-11-01
79,West,444,280,2023-09-21
80,North,398,331,2023-05-06
81,South,431,315,2023-11-09
82,Central,284,475,2023-06-14
83,West,425,35,2023-01-06
84,West,167,398,2023-11-17
85,West,189,197,2023-09-07
86,East,354,388,2023-09-09
87,North,358,437,2023-11-20
88,North,442,259,2023-10-21
89,North,257,495,2023-02-22
90,Central,433,411,2023-01-10
91,Central,229,40,2023-01-21
92,Central,259,232,2023-06-25
93,East,125,33,2023-07-13
94,South,456,249,2023-06-20
95,Central,472,63,2023-06-04
96,South,281,408,2023-06-04
97,Central,158,161,2023-02-19
98,North,326,253,2023-03-22
99,South,394,106,2023-06-08
100,South,499,49,2023-11-10
101,East,445,405,2023-02-08
102,Central,390,168,2023-10-12
103,South,181,469,2023-09-11
104,South,237,193,2023-12-13
105,East,329,267,2023-07-19
106,South,111,204,2023-07-14
107,North,315,94,2023-04-05
108,Central,291,203,2023-07-13
109,North,458,301,2023-02-28
110,Central,434,57,2023-08-23
111,North,430,449,2023-11-26
112,North,348,60,2023-08-02
113,East,285,15,2023-12-14
114,East,149,395,2023-12-11
115,West,376,170,2023-07-07
116,East,396,88,2023-04-03
117,East,137,122,2023-05-15
118,North,109,335,2023-03-23
119,South,110,163,2023-02-28
120,South,408,290,2023-09-12
121,South,261,293,2023-11-07
122,South,257,245,2023-10-25
123,North,122,320,2023-03-02
124,Central,228,164,2023-02-09
125,North,389,295,2023-06-04
126,North,201,453,2023-12-26
127,East,277,70,2023-06-08
128,West,415,324,2023-04-11
129,West,105,153,2023-11-13
130,Central,174,346,2023-07-06
131,East,134,240,2023-01-28
132,Central,411,74,2023-12-13
133,East,452,270,2023-04-24
134,West,281,45,2023-02-10
135,Central,309,72,2023-11-17
136,Central,300,371,2023-05-09
137,South,330,298,2023-11-12
138,South,259,245,2023-06-06
139,East,176,217,2023-12-04
140,South,462,147,2023-05-10
141,West,238,217,2023-12-20
142,Central,342,248,2023-04-24
143,South,396,315,2023-05-22
144,West,486,118,2023-12-23
145,East,294,288,2023-08-06
146,West,131,17,2023-10-26
147,West,133,248,2023-05-23
148,East,193,498,2023-10-22
149,South,253,353,2023-02-23
150,East,272,350,2023-06-18
151,East,398,208,2023-04-09
152,West,159,318,2023-05-18
153,South,185,363,2023-12-05
154,East,484,429,2023-04-15
155,North,408,306,2023-12-24
156,South,158,120,2023-07-12
157,West,492,468,2023-08-03
158,North,303,355,2023-03-24
159,North,192,159,2023-06-03
160,East,334,387,2023-08-05
161,West,118,223,2023-01-11
162,West,341,414,2023-03-26
163,West,346,488,2023-12-09
164,Central,278,18,2023-01-17
165,North,361,174,2023-08-24
166,Central,144,32,2023-03-18
167,Central,370,409,2023-04-24
168,North,366,186,2023-07-27
169,Central,156,355,2023-01-21
170,Central,287,215,2023-01-06
171,Central,115,122,2023-02-03
172,Central,387,441,2023-06-08
173,South,157,214,2023-01-26
174,South,211,251,2023-12-16
175,West,109,32,2023-12-02
176,South,362,227,2023-11-21
177,East,459,192,2023-12-10
178,West,387,282,2023-12-01
179,North,443,461,2023-01-20
180,South,485,348,2023-01-27
181,North,495,81,2023-06-10
182,South,112,226,2023-10-19
183,North,431,142,2023-10-06
184,East,304,250,2023-02-24
185,South,373,381,2023-11-18
186,South,251,456,2023-09-15
187,Central,264,77,2023-02-11
188,West,177,192,2023-11-05
189,East,354,177,2023-03-20
190,Central,182,72,2023-10-23
191,East,122,203,2023-03-16
192,North,379,103,2023-11-28
193,North,406,315,2023-02-03
194,East,222,181,2023-08-25
195,East,445,260,2023-02-21
196,East,337,355,2023-03-08
197,South,179,166,2023-01-25
198,Central,226,198,2023-10-14
199,West,159,258,2023-01-07
200,West,162,31,2023-04-12
201,West,164,243,2023-06-25
202,North,497,91,2023-10-20
203,West,445,436,2023-11-08
204,West,455,363,2023-09-08
205,South,334,27,2023-02-08
206,Central,221,499,2023-11-03
207,Central,413,427,2023-10-22
208,East,449,231,2023-09-13
209,South,256,300,2023-08-12
210,West,361,367,2023-09-07
211,West,386,89,2023-02-20
212,South,308,270,2023-10-02
213,North,446,397,2023-03-13
214,Central,451,291,2023-12-11
215,South,267,119,2023-10-07
216,South,136,276,2023-02-09
217,North,397,224,2023-07-19
218,West,400,39,2023-04-26
219,East,378,388,2023-05-14
220,South,231,399,2023-09-17
221,Central,142,281,2023-01-18
222,West,358,458,2023-10-08
223,South,196,392,2023-04-16
224,East,383,147,2023-08-08
225,Central,116,17,2023-08-10
226,South,237,112,2023-07-06
227,East,118,283,2023-06-03
228,Central,408,79,2023-03-09
229,Central,160,230,2023-10-15
230,South,295,318,2023-03-23
231,South,107,234,2023-09-12
232,North,311,227,2023-10-14
233,Central,345,92,2023-12-08
234,West,163,156,2023-07-21
235,Central,432,203,2023-11-24
236,Central,449,108,2023-08-17
237,West,263,172,2023-05-12
238,North,340,27,2023-06-26
239,North,302,132,2023-10-01
240,East,307,199,2023-10-12
241,Central,105,407,2023-11-22
242,North,467,467,2023-02-19
243,Central,234,123,2023-06-04
244,South,485,25,2023-01-22
245,East,244,456,2023-01-12
246,West,132,17,2023-03-07
247,South,158,219,2023-02-04
248,South,414,167,2023-11-20
249,East,498,136,2023-12-17
250,North,106,120,2023-02-05
251,South,201,221,2023-01-05
252,Central,144,99,2023-10-25
253,North,232,475,2023-12-21
254,West,129,384,2023-11-26
255,East,375,169,2023-02-09
256,West,465,341,2023-11-26
257,West,187,454,2023-02-12
258,Central,281,114,2023-12-14
259,Central,222,267,2023-10-27
260,Central,226,125,2023-07-21
261,Central,401,411,2023-08-08
262,South,223,32,2023-12-04
263,Central,368,150,2023-11-19
264,Central,263,136,2023-05-13
265,West,352,436,2023-04-02
266,South,188,399,2023-02-22
267,Central,171,375,2023-06-27
268,South,323,387,2023-08-23
269,North,405,311,2023-01-08
270,East,376,213,2023-09-04
271,North,456,166,2023-10-08
272,North,422,246,2023-09-02
273,Central,183,98,2023-03-03
274,East,271,31,2023-07-23
275,East,405,324,2023-07-20
276,East,130,450,2023-05-16
277,North,420,154,2023-07-08
278,Central,257,387,2023-09-18
279,North,431,243,2023-09-28
280,East,158,361,2023-12-09
281,West,391,407,2023-03-01
282,North,296,312,2023-02-17
283,Central,314,210,2023-08-03
284,West,150,10,2023-06-04
285,South,334,112,2023-02-17
286,Central,236,184,2023-09-05
287,Central,382,463,2023-07-01
288,North,268,62,2023-12-08
289,East,269,256,2023-08-11
290,South,499,395,2023-08-13
291,North,100,276,2023-11-16
292,West,219,258,2023-08-20
293,West,402,361,2023-10-09
294,West,334,117,2023-11-12
295,Central,485,458,2023-05-03
